id,description,category,inputUnit,outputUnit,factor,formulaId,requiredInputs,defaultWastePct,minRecommended,maxRecommended,notes,tags,sourceBasis
asphalt_sf_1in_to_tons,"SF to tons for 1"" compacted asphalt",Asphalt,SF,TON,0.0061111111,asphalt_sf_depth_to_tons,sf,5,0.0058333333,0.0066666667,Uses 110 lb/SY/in. Actual mix can range; check JMF/ticket yield when available.,asphalt|tonnage,
asphalt_sf_2_5in_to_tons,"SF to tons for 2.5"" compacted asphalt",Asphalt,SF,TON,0.0152777778,asphalt_sf_depth_to_tons,sf,5,0.01458333325,0.01666666675,Uses 110 lb/SY/in. Actual mix can range; check JMF/ticket yield when available.,asphalt|tonnage,
asphalt_sf_2in_to_tons,"SF to tons for 2"" compacted asphalt",Asphalt,SF,TON,0.0122222222,asphalt_sf_depth_to_tons,sf,5,0.0116666666,0.0133333334,Uses 110 lb/SY/in. Actual mix can range; check JMF/ticket yield when available.,asphalt|tonnage,
asphalt_sf_3_5in_to_tons,"SF to tons for 3.5"" compacted asphalt",Asphalt,SF,TON,0.0213888889,asphalt_sf_depth_to_tons,sf,5,0.02041666655,0.02333333345,Uses 110 lb/SY/in. Actual mix can range; check JMF/ticket yield when available.,asphalt|tonnage,
asphalt_sf_3in_to_tons,"SF to tons for 3"" compacted asphalt",Asphalt,SF,TON,0.0183333333,asphalt_sf_depth_to_tons,sf,5,0.0174999999,0.0200000001,Uses 110 lb/SY/in. Actual mix can range; check JMF/ticket yield when available.,asphalt|tonnage,
asphalt_sf_4in_to_tons,"SF to tons for 4"" compacted asphalt",Asphalt,SF,TON,0.0244444444,asphalt_sf_depth_to_tons,sf,5,0.0233333332,0.0266666668,Uses 110 lb/SY/in. Actual mix can range; check JMF/ticket yield when available.,asphalt|tonnage,
asphalt_sf_5in_to_tons,"SF to tons for 5"" compacted asphalt",Asphalt,SF,TON,0.0305555555,asphalt_sf_depth_to_tons,sf,5,0.0291666665,0.0333333335,Uses 110 lb/SY/in. Actual mix can range; check JMF/ticket yield when available.,asphalt|tonnage,
asphalt_sf_6in_to_tons,"SF to tons for 6"" compacted asphalt",Asphalt,SF,TON,0.0366666666,asphalt_sf_depth_to_tons,sf,5,0.0349999998,0.0400000002,Uses 110 lb/SY/in. Actual mix can range; check JMF/ticket yield when available.,asphalt|tonnage,
asphalt_sy_0_5in_to_tons,"SY to tons for 0.5"" compacted asphalt",Asphalt,SY,TON,0.0275,asphalt_sy_depth_to_tons,sy,5,0.02625,0.03,Uses 110 lb/SY/in. Actual mix can range; check JMF/ticket yield when available.,asphalt|tonnage,
asphalt_sy_0_75in_to_tons,"SY to tons for 0.75"" compacted asphalt",Asphalt,SY,TON,0.04125,asphalt_sy_depth_to_tons,sy,5,0.039375,0.045,Uses 110 lb/SY/in. Actual mix can range; check JMF/ticket yield when available.,asphalt|tonnage,
asphalt_sy_1_25in_to_tons,"SY to tons for 1.25"" compacted asphalt",Asphalt,SY,TON,0.06875,asphalt_sy_depth_to_tons,sy,5,0.065625,0.075,Uses 110 lb/SY/in. Actual mix can range; check JMF/ticket yield when available.,asphalt|tonnage,
asphalt_sy_1_5in_to_tons,"SY to tons for 1.5"" compacted asphalt",Asphalt,SY,TON,0.0825,asphalt_sy_depth_to_tons,sy,5,0.07875,0.09,Uses 110 lb/SY/in. Actual mix can range; check JMF/ticket yield when available.,asphalt|tonnage,
asphalt_sy_1in_to_tons,"SY to tons for 1"" compacted asphalt",Asphalt,SY,TON,0.055,asphalt_sy_depth_to_tons,sy,5,0.0525,0.06,Uses 110 lb/SY/in. Actual mix can range; check JMF/ticket yield when available.,asphalt|tonnage,
asphalt_sy_2_5in_to_tons,"SY to tons for 2.5"" compacted asphalt",Asphalt,SY,TON,0.1375,asphalt_sy_depth_to_tons,sy,5,0.13125,0.15,Uses 110 lb/SY/in. Actual mix can range; check JMF/ticket yield when available.,asphalt|tonnage,
asphalt_sy_2in_to_tons,"SY to tons for 2"" compacted asphalt",Asphalt,SY,TON,0.11,asphalt_sy_depth_to_tons,sy,5,0.105,0.12,Uses 110 lb/SY/in. Actual mix can range; check JMF/ticket yield when available.,asphalt|tonnage,
asphalt_sy_3_5in_to_tons,"SY to tons for 3.5"" compacted asphalt",Asphalt,SY,TON,0.1925,asphalt_sy_depth_to_tons,sy,5,0.18375,0.21,Uses 110 lb/SY/in. Actual mix can range; check JMF/ticket yield when available.,asphalt|tonnage,
asphalt_sy_3in_to_tons,"SY to tons for 3"" compacted asphalt",Asphalt,SY,TON,0.165,asphalt_sy_depth_to_tons,sy,5,0.1575,0.18,Uses 110 lb/SY/in. Actual mix can range; check JMF/ticket yield when available.,asphalt|tonnage,
asphalt_sy_4in_to_tons,"SY to tons for 4"" compacted asphalt",Asphalt,SY,TON,0.22,asphalt_sy_depth_to_tons,sy,5,0.21,0.24,Uses 110 lb/SY/in. Actual mix can range; check JMF/ticket yield when available.,asphalt|tonnage,
asphalt_sy_5in_to_tons,"SY to tons for 5"" compacted asphalt",Asphalt,SY,TON,0.275,asphalt_sy_depth_to_tons,sy,5,0.2625,0.3,Uses 110 lb/SY/in. Actual mix can range; check JMF/ticket yield when available.,asphalt|tonnage,
asphalt_sy_6in_to_tons,"SY to tons for 6"" compacted asphalt",Asphalt,SY,TON,0.33,asphalt_sy_depth_to_tons,sy,5,0.315,0.36,Uses 110 lb/SY/in. Actual mix can range; check JMF/ticket yield when available.,asphalt|tonnage,
asphalt_waste_large_open_lot,Asphalt waste/overrun - large open parking lot,Asphalt,TON,TON,1.04,,,,1.03,1.05,Multiplier applied to theoretical asphalt tons.,waste|overrun,
asphalt_waste_leveling,Asphalt leveling course quantity factor,Asphalt,TON,TON,1.15,,,,1.1,1.3,Multiplier applied to theoretical asphalt tons.,waste|overrun,
asphalt_waste_patching,Asphalt waste/overrun - patching/irregular work,Asphalt,TON,TON,1.15,,,,1.1,1.25,Multiplier applied to theoretical asphalt tons.,waste|overrun,
asphalt_waste_small_lot,Asphalt waste/overrun - small lot/handwork,Asphalt,TON,TON,1.1,,,,1.08,1.15,Multiplier applied to theoretical asphalt tons.,waste|overrun,
crackfill_half_by_half_field,"Crack filler 1/2"" wide x 1/2"" deep - field allowance",Asphalt,LF,LB,0.15,,,10,,,"Crack filler usage varies heavily with routing, cleanliness, overbanding, and actual crack width.",crackfill,
crackfill_half_by_half_theoretical,"Crack filler 1/2"" wide x 1/2"" deep - theoretical",Asphalt,LF,LB,0.125,,,10,,,"Crack filler usage varies heavily with routing, cleanliness, overbanding, and actual crack width.",crackfill,
crackfill_half_by_one_field,"Crack filler 1/2"" wide x 1"" deep - field allowance",Asphalt,LF,LB,0.25,,,10,,,"Crack filler usage varies heavily with routing, cleanliness, overbanding, and actual crack width.",crackfill,
crackfill_overband_extra,Crack filler overband/waste multiplier,Asphalt,LF,LB,1.15,,,10,,,"Crack filler usage varies heavily with routing, cleanliness, overbanding, and actual crack width.",crackfill,
crackfill_threequarter_by_threequarter_field,"Crack filler 3/4"" wide x 3/4"" deep - field allowance",Asphalt,LF,LB,0.278,,,10,,,"Crack filler usage varies heavily with routing, cleanliness, overbanding, and actual crack width.",crackfill,
concrete_broken_cy_to_tons,Broken concrete CY to tons,Concrete,CY,TON,1.0,,,,0.9,1.3,Use for loose/broken demo loading; varies widely by voids.,waste|demo,
concrete_sf_10in_to_cy,"SF to CY for 10"" concrete slab",Concrete,SF,CY,0.0308641975,sf_depth_in_to_cy,sf,7,,,Theoretical concrete volume before waste.,flatwork|slab,
concrete_sf_12in_to_cy,"SF to CY for 12"" concrete slab",Concrete,SF,CY,0.037037037,sf_depth_in_to_cy,sf,7,,,Theoretical concrete volume before waste.,flatwork|slab,
concrete_sf_3in_to_cy,"SF to CY for 3"" concrete slab",Concrete,SF,CY,0.0092592593,sf_depth_in_to_cy,sf,7,,,Theoretical concrete volume before waste.,flatwork|slab,
concrete_sf_4in_to_cy,"SF to CY for 4"" concrete slab",Concrete,SF,CY,0.012345679,sf_depth_in_to_cy,sf,7,,,Theoretical concrete volume before waste.,flatwork|slab,
concrete_sf_5in_to_cy,"SF to CY for 5"" concrete slab",Concrete,SF,CY,0.0154320988,sf_depth_in_to_cy,sf,7,,,Theoretical concrete volume before waste.,flatwork|slab,
concrete_sf_6in_to_cy,"SF to CY for 6"" concrete slab",Concrete,SF,CY,0.0185185185,sf_depth_in_to_cy,sf,7,,,Theoretical concrete volume before waste.,flatwork|slab,
concrete_sf_7in_to_cy,"SF to CY for 7"" concrete slab",Concrete,SF,CY,0.0216049383,sf_depth_in_to_cy,sf,7,,,Theoretical concrete volume before waste.,flatwork|slab,
concrete_sf_8in_to_cy,"SF to CY for 8"" concrete slab",Concrete,SF,CY,0.024691358,sf_depth_in_to_cy,sf,7,,,Theoretical concrete volume before waste.,flatwork|slab,
concrete_solid_cy_to_tons,Solid concrete CY to tons,Concrete,CY,TON,2.0,,,,1.95,2.05,Use for demolition haul-off of solid concrete.,waste|demo,
concrete_sy_10in_to_cy,"SY to CY for 10"" concrete slab",Concrete,SY,CY,0.2777777778,sy_depth_in_to_cy,sy,7,,,Theoretical concrete volume before waste.,flatwork|slab,
concrete_sy_12in_to_cy,"SY to CY for 12"" concrete slab",Concrete,SY,CY,0.3333333333,sy_depth_in_to_cy,sy,7,,,Theoretical concrete volume before waste.,flatwork|slab,
concrete_sy_3in_to_cy,"SY to CY for 3"" concrete slab",Concrete,SY,CY,0.0833333333,sy_depth_in_to_cy,sy,7,,,Theoretical concrete volume before waste.,flatwork|slab,
concrete_sy_4in_to_cy,"SY to CY for 4"" concrete slab",Concrete,SY,CY,0.1111111111,sy_depth_in_to_cy,sy,7,,,Theoretical concrete volume before waste.,flatwork|slab,
concrete_sy_5in_to_cy,"SY to CY for 5"" concrete slab",Concrete,SY,CY,0.1388888889,sy_depth_in_to_cy,sy,7,,,Theoretical concrete volume before waste.,flatwork|slab,
concrete_sy_6in_to_cy,"SY to CY for 6"" concrete slab",Concrete,SY,CY,0.1666666667,sy_depth_in_to_cy,sy,7,,,Theoretical concrete volume before waste.,flatwork|slab,
concrete_sy_7in_to_cy,"SY to CY for 7"" concrete slab",Concrete,SY,CY,0.1944444444,sy_depth_in_to_cy,sy,7,,,Theoretical concrete volume before waste.,flatwork|slab,
concrete_sy_8in_to_cy,"SY to CY for 8"" concrete slab",Concrete,SY,CY,0.2222222222,sy_depth_in_to_cy,sy,7,,,Theoretical concrete volume before waste.,flatwork|slab,
concrete_waste_curb_handwork,Concrete waste factor - curb/handwork,Concrete,CY,CY,1.1,,,,1.08,1.12,Multiplier on theoretical CY.,waste|demo,
concrete_waste_large_slab,Concrete waste factor - large slab,Concrete,CY,CY,1.05,,,,1.03,1.07,Multiplier on theoretical CY.,waste|demo,
concrete_waste_piers,Concrete waste factor - piers/sonotubes,Concrete,CY,CY,1.12,,,,1.1,1.15,Multiplier on theoretical CY.,waste|demo,
concrete_waste_sidewalk_small,Concrete waste factor - sidewalk/small flatwork,Concrete,CY,CY,1.08,,,,1.07,1.1,Multiplier on theoretical CY.,waste|demo,
curb_gutter_23in_lf_to_cy,"23"" curb/gutter LF to CY",Concrete,LF,CY,0.05,curb_cy,lf,10,,,Preset assumes about 1.35 SF cross-section. Prefer actual section area from detail.,curb|gutter,
curb_gutter_24in_lf_to_cy,"24"" curb/gutter LF to CY",Concrete,LF,CY,0.055,curb_cy,lf,10,,,Preset assumes about 1.485 SF cross-section. Prefer actual section area from detail.,curb|gutter,
curb_gutter_30in_lf_to_cy,"30"" curb/gutter LF to CY",Concrete,LF,CY,0.07,curb_cy,lf,10,,,Preset assumes about 1.89 SF cross-section. Prefer actual section area from detail.,curb|gutter,
curb_post_12in_lf_to_cy,"12"" post curb LF to CY",Concrete,LF,CY,0.02,curb_cy,lf,10,,,Preset assumes about 0.54 SF cross-section. Prefer actual section area from detail.,curb|gutter,
header_curb_lf_to_cy,Header curb LF to CY,Concrete,LF,CY,0.03,curb_cy,lf,10,,,Preset assumes about 0.81 SF cross-section. Prefer actual section area from detail.,curb|gutter,
pier_1_5ft_dia_cy_per_lf,1.5' diameter circular pier CY per LF depth,Concrete,LF,CY,0.0654498469,circular_pier_cy,depthFt,12,,,CY per vertical LF of pier depth.,pier|column|sonotube,
pier_1ft_dia_cy_per_lf,1' diameter circular pier CY per LF depth,Concrete,LF,CY,0.0290888209,circular_pier_cy,depthFt,12,,,CY per vertical LF of pier depth.,pier|column|sonotube,
pier_2_5ft_dia_cy_per_lf,2.5' diameter circular pier CY per LF depth,Concrete,LF,CY,0.1818051304,circular_pier_cy,depthFt,12,,,CY per vertical LF of pier depth.,pier|column|sonotube,
pier_2ft_dia_cy_per_lf,2' diameter circular pier CY per LF depth,Concrete,LF,CY,0.1163552835,circular_pier_cy,depthFt,12,,,CY per vertical LF of pier depth.,pier|column|sonotube,
pier_3_5ft_dia_cy_per_lf,3.5' diameter circular pier CY per LF depth,Concrete,LF,CY,0.3563380556,circular_pier_cy,depthFt,12,,,CY per vertical LF of pier depth.,pier|column|sonotube,
pier_3ft_dia_cy_per_lf,3' diameter circular pier CY per LF depth,Concrete,LF,CY,0.2617993878,circular_pier_cy,depthFt,12,,,CY per vertical LF of pier depth.,pier|column|sonotube,
pier_4ft_dia_cy_per_lf,4' diameter circular pier CY per LF depth,Concrete,LF,CY,0.4654211339,circular_pier_cy,depthFt,12,,,CY per vertical LF of pier depth.,pier|column|sonotube,
pier_5ft_dia_cy_per_lf,5' diameter circular pier CY per LF depth,Concrete,LF,CY,0.7272205217,circular_pier_cy,depthFt,12,,,CY per vertical LF of pier depth.,pier|column|sonotube,
pier_6ft_dia_cy_per_lf,6' diameter circular pier CY per LF depth,Concrete,LF,CY,1.0471975512,circular_pier_cy,depthFt,12,,,CY per vertical LF of pier depth.,pier|column|sonotube,
rebar_10_lb_per_lf,#10 rebar lb per LF,Concrete,LF,LB,4.303,rebar_weight,lf,5,,,Use for reinforcement takeoff.,rebar,
rebar_11_lb_per_lf,#11 rebar lb per LF,Concrete,LF,LB,5.313,rebar_weight,lf,5,,,Use for reinforcement takeoff.,rebar,
rebar_3_lb_per_lf,#3 rebar lb per LF,Concrete,LF,LB,0.376,rebar_weight,lf,5,,,Use for reinforcement takeoff.,rebar,
rebar_4_lb_per_lf,#4 rebar lb per LF,Concrete,LF,LB,0.668,rebar_weight,lf,5,,,Use for reinforcement takeoff.,rebar,
rebar_5_lb_per_lf,#5 rebar lb per LF,Concrete,LF,LB,1.043,rebar_weight,lf,5,,,Use for reinforcement takeoff.,rebar,
rebar_6_lb_per_lf,#6 rebar lb per LF,Concrete,LF,LB,1.502,rebar_weight,lf,5,,,Use for reinforcement takeoff.,rebar,
rebar_7_lb_per_lf,#7 rebar lb per LF,Concrete,LF,LB,2.044,rebar_weight,lf,5,,,Use for reinforcement takeoff.,rebar,
rebar_8_lb_per_lf,#8 rebar lb per LF,Concrete,LF,LB,2.67,rebar_weight,lf,5,,,Use for reinforcement takeoff.,rebar,
rebar_9_lb_per_lf,#9 rebar lb per LF,Concrete,LF,LB,3.4,rebar_weight,lf,5,,,Use for reinforcement takeoff.,rebar,
roll_curb_lf_to_cy,Roll curb LF to CY,Concrete,LF,CY,0.045,curb_cy,lf,10,,,Preset assumes about 1.215 SF cross-section. Prefer actual section area from detail.,curb|gutter,
asphalt_demo_sy_1in_to_tons,Asphalt removal/milling SY to tons per 1 inch,Demolition,SY,TON,0.055,,,,,,Same as asphalt tonnage basis; adjust for actual density.,demo|removal,
concrete_demo_sf_4in_to_cy,Concrete demo SF to CY for 4 inch slab,Demolition,SF,CY,0.012345679,,,,,,Theoretical CY before broken/loose conversion.,demo|removal,
